iteration	timestamp	hypothesis	change	avg_tag_dirs	avg_incestuous	avg_neighbors	kept
0	2026-03-25T21:00	baseline	none	2.1	14.6	19.7	yes
1	2026-03-25T21:10	core/branch pool split	core+branch scoring in build_graph	2.1	2.7	9.1	partial
2	2026-03-25T21:15	increase pool sizes	4 core + 4 branch per tag	2.1	3.5	12.0	yes
3	2026-03-25T21:20	API grouping by unique tag	branch neighbors under new tag	8.6	3.5	17.1	yes
